,X,State,X2017PopEst,CongDistPopEst,Deviation,CountiesOverDeviation,CountiesUnderDeviation,CountiesUnder1.10thCDP,SenateDistrictPopEst,CountiesOverSDP,CountiesUnderSDP,HouseDistPopEst,CountiesOverHDP,CountiesUnderHDP
1,1,Alabama,4874747,745540.26,+/- 0.5%,0,67,48,139278.4857,8,59,46426.1619,28,39
2,2,Alaska,739795,745540.26,+/- 0.5%,0,29,26,36989.75,4,25,18494.875,5,24
3,3,Arizona,7016270,745540.26,+/- 0.5%,2,13,6,233875.6667,3,12,116937.8333,8,7
4,4,Arkansas,3004279,745540.26,+/- 0.5%,0,75,66,85836.54286,8,67,30042.79,22,53
5,5,California,39536653,745540.26,+/- 0.5%,14,43,19,988416.325,9,48,494208.1625,17,41
6,6,Colorado,5607154,745540.26,+/- 0.5%,0,64,53,160204.4,10,54,86263.90769,11,53
7,7,Connecticut,3588184,745540.26,+/- 0.5%,3,5,0,99671.77778,8,0,23762.80795,8,0
8,8,Delaware,961939,745540.26,+/- 0.5%,0,3,0,45806.61905,3,0,23461.92683,3,0
9,9,District of Columbia,693972,745540.26,+/- 0.5%,0,1,0,Inf,0,1,693972,0,0
10,10,Florida,20984400,745540.26,+/- 0.5%,7,60,29,524610,11,55,174870,29,37
11,11,Georgia,10429379,745540.26,+/- 0.5%,4,155,127,186238.9107,12,147,57940.99444,39,120
12,12,Hawaii,1427538,745540.26,+/- 0.5%,1,4,2,57101.52,4,1,27990.94118,4,1
13,13,Idaho,1716943,745540.26,+/- 0.5%,0,44,38,49055.51429,6,38,24527.75714,13,31
14,14,Illinois,12802023,745540.26,+/- 0.5%,2,100,81,216983.4407,9,93,108491.7203,18,84
15,15,Indiana,6666818,745540.26,+/- 0.5%,1,91,70,133336.36,12,80,66668.18,23,68
16,16,Iowa,3145711,745540.26,+/- 0.5%,0,99,89,62914.22,10,89,31457.11,22,77
17,17,Kansas,2913123,745540.26,+/- 0.5%,0,105,99,72828.075,7,98,23304.984,24,81
18,18,Kentucky,4454189,745540.26,+/- 0.5%,1,119,110,117215.5,5,115,44541.89,24,96
19,19,Louisiana,4684333,745540.26,+/- 0.5%,0,64,48,120111.1026,13,51,44612.69524,26,38
20,20,Maine,1335907,745540.26,+/- 0.5%,0,16,11,38168.77143,11,5,8731.418301,16,0
21,21,Maryland,6052177,745540.26,+/- 0.5%,3,21,9,128769.7234,11,13,42923.24113,18,6
22,22,Massachusetts,6859819,745540.26,+/- 0.5%,4,10,3,171495.475,9,5,42873.86875,12,2
23,23,Michigan,9962311,745540.26,+/- 0.5%,3,80,57,262166.0789,8,74,90566.46364,22,61
24,24,Minnesota,5576606,745540.26,+/- 0.5%,1,86,75,83232.92537,12,75,41616.46269,23,64
25,25,Mississippi,2984100,745540.26,+/- 0.5%,0,82,73,57386.53846,12,70,24459.83607,38,44
26,26,Missouri,6113532,745540.26,+/- 0.5%,1,114,99,179809.7647,7,108,37506.33129,31,84
27,27,Montana,1050493,745540.26,+/- 0.5%,0,56,51,21009.86,9,47,10504.93,21,35
28,28,Nebraska,1920076,745540.26,+/- 0.5%,0,93,90,39185.22449,5,88,Inf,0,93
29,29,Nevada,2998039,745540.26,+/- 0.5%,1,16,15,142763.7619,2,15,71381.88095,2,15
30,30,New Hampshire,1342795,745540.26,+/- 0.5%,0,10,4,55949.79167,7,3,3356.9875,10,0
31,31,New Jersey,9005644,745540.26,+/- 0.5%,3,18,1,225141.1,15,6,112570.55,18,3
32,32,New Mexico,2088070,745540.26,+/- 0.5%,0,33,27,49715.95238,11,21,29829.57143,14,19
33,33,New York,19849399,745540.26,+/- 0.5%,8,53,26,315069.8254,13,49,132329.3267,22,40
34,34,North Carolina,10273419,745540.26,+/- 0.5%,2,98,65,205468.38,11,89,85611.825,32,68
35,35,North Dakota,755393,745540.26,+/- 0.5%,0,53,51,16072.19149,9,44,8036.095745,17,35
36,36,Ohio,11658609,745540.26,+/- 0.5%,3,85,53,353291.1818,8,80,117763.7273,23,65
37,37,Oklahoma,3930864,745540.26,+/- 0.5%,1,76,69,81893,6,70,38919.44554,27,49
38,38,Oregon,4142776,745540.26,+/- 0.5%,1,35,22,138092.5333,7,29,69046.26667,14,22
39,39,Pennsylvania,12805537,745540.26,+/- 0.5%,3,64,31,256110.74,15,52,63081.46305,40,27
40,40,Rhode Island,1059639,745540.26,+/- 0.5%,0,5,1,27885.23684,5,0,14128.52,5,0
41,41,South Carolina,5024369,745540.26,+/- 0.5%,0,46,28,109225.413,14,32,40519.10484,25,21
42,42,South Dakota,869666,745540.26,+/- 0.5%,0,66,64,24847.6,8,58,12423.8,16,50
43,43,Tennessee,6715984,745540.26,+/- 0.5%,1,94,77,203514.6667,6,89,67838.22222,20,75
44,44,Texas,28304596,745540.26,+/- 0.5%,10,244,205,913051.4839,6,248,188697.3067,24,230
45,45,Utah,3101833,745540.26,+/- 0.5%,1,28,23,106959.7586,6,23,41357.77333,9,20
46,46,Vermont,623657,745540.26,+/- 0.5%,0,14,13,20788.56667,12,2,4157.713333,14,0
47,47,Virginia,8470020,745540.26,+/- 0.5%,1,132,105,211750.5,10,123,84700.2,23,110
48,48,Washington,7405743,745540.26,+/- 0.5%,3,36,21,151137.6122,10,29,75568.80612,17,21
49,49,West Virginia,1815857,745540.26,+/- 0.5%,0,55,49,53407.55882,11,44,18158.57,32,23
50,50,Wisconsin,5795483,745540.26,+/- 0.5%,1,71,51,175620.697,6,66,58540.23232,25,47
51,51,Wyoming,579315,745540.26,+/- 0.5%,0,23,21,19310.5,10,12,9655.25,16,7
